# SI units; columns aligned to your modeling needs (Larsonâ€“Miller / rupture maps)
# Columns: temperature_C,stress_MPa,time_to_rupture_h
temperature_C,stress_MPa,time_to_rupture_h
537.8,1089.4,27.8
537.8,1034.2,133.2
537.8,999.7,256.0
537.8,965.3,814.9
537.8,923.9,1731.0
537.8,854.9,8473.0
537.8,813.6,21523.6
593.3,930.8,28.2
593.3,896.3,62.0
593.3,848.1,151.9
593.3,806.7,367.5
593.3,723.9,2327.6
593.3,648.1,10606.2
593.3,592.9,33990.7
648.9,792.9,10.6
648.9,744.6,30.8
648.9,661.9,150.0
648.9,599.8,747.2
648.9,537.8,3131.5
648.9,468.8,7263.0
648.9,434.4,10232.0
704.4,592.9,18.0
704.4,524.0,70.5
704.4,468.8,182.7
704.4,413.7,476.8
704.4,379.2,808.0
704.4,303.4,2870.7
704.4,255.1,6048.0
